subject,trial,null,pic_id,act_x,act_y,est_x,est_y,correct,distance,rt,day,condition,act_quad,est_quad,quad_diff
VRTag_016,12,1,29,1426.182,147.8715,1353,876,0,731.7968,1.616468,1,video,1,4,-3
VRTag_016,13,1,23,607.9936,665.6338,1083,867,0,515.9258,1.999972,1,video,3,2,1
VRTag_016,14,1,2,535.8049,861.5938,592,660,0,209.2796,2.433304,1,video,2,3,-1
VRTag_016,15,1,30,644.8723,850.0821,1093,299,0,710.2886,2.183246,1,video,2,3,-1
VRTag_016,16,1,39,448.9631,936.2643,1208,460,0,896.083,1.849918,1,video,2,3,-1
VRTag_016,17,1,3,1325.305,967.1528,601,840,0,735.3812,1.766672,1,video,4,4,0
VRTag_016,18,1,42,1459.401,783.568,792,650,0,680.6355,1.366631,1,video,4,1,3
VRTag_016,19,1,8,602.9219,705.3162,580,912,0,207.9509,2.283251,1,video,3,2,1
VRTag_016,20,1,43,1426.723,211.4206,1102,648,0,544.1018,3.633178,1,video,1,1,0
VRTag_016,21,1,5,1462.045,442.7524,599,690,0,897.7631,2.449939,1,video,1,1,0
VRTag_016,22,1,44,458.1551,802.1469,1200,456,0,818.6278,1.533238,1,video,2,3,-1
VRTag_016,23,1,25,531.4091,372.4311,1045,401,0,514.3849,1.499944,1,video,3,3,0
VRTag_016,24,1,37,906.3788,318.1512,1234,315,0,327.6363,1.39991,1,video,1,1,0
VRTag_018,1,1,14,842.1597,602.894,957,387,0,244.5373,13.47447,1,video,1,1,0
VRTag_018,2,1,40,700.0739,933.4925,1128,814,0,444.2963,3.483193,1,video,2,2,0
VRTag_018,3,1,21,1469.777,661.4012,1084,420,0,455.0805,1.866471,1,video,1,1,0
VRTag_018,4,1,18,763.4604,282.3163,1081,841,0,642.6188,3.899896,1,video,1,4,-3
VRTag_018,5,1,13,1020.47,685.8893,651,678,0,369.5542,3.533221,1,video,1,1,0
VRTag_018,6,1,22,926.1016,274.6861,615,331,0,316.1573,3.183223,1,video,1,1,0
VRTag_018,7,1,31,1404.661,699.756,582,822,0,831.6938,3.716577,1,video,1,4,-3
VRTag_018,8,1,1,1063.177,626.9563,1120,415,0,219.4409,14.51649,1,video,1,1,0
VRTag_018,9,1,16,733.9528,478.5677,635,345,1,166.2287,5.633205,1,video,3,3,0
VRTag_018,10,1,17,449.3457,284.5234,470,638,0,354.0795,3.199895,1,video,3,3,0
VRTag_018,11,1,12,907.0206,158.0326,706,549,0,439.6189,1.883269,1,video,1,1,0
VRTag_018,12,1,34,657.0605,569.0422,983,621,0,330.0548,3.333195,1,video,3,3,0
VRTag_018,13,1,20,544.9826,831.3631,1097,424,0,686.0524,2.816583,1,video,2,3,-1
VRTag_018,14,1,15,516.6164,148.3115,1204,566,0,804.3381,6.266506,1,video,3,3,0
VRTag_018,15,1,48,953.0407,853.4175,1257,361,0,578.6763,2.216488,1,video,4,1,3
VRTag_018,16,1,6,1041.861,408.1828,857,696,0,342.0704,2.449949,1,video,1,1,0
VRTag_018,17,1,33,738.6808,942.2177,1192,265,0,814.9369,2.316611,1,video,2,3,-1
VRTag_018,18,1,45,527.3278,806.0604,1240,354,0,843.9551,6.083245,1,video,2,3,-1
VRTag_018,19,1,26,622.3143,395.0108,673,858,0,465.7554,3.13325,1,video,3,2,1
VRTag_018,20,1,41,1261.653,464.8997,972,251,0,360.0721,1.7499,1,video,1,1,0
VRTag_018,21,1,32,558.7779,286.2114,932,845,0,671.9668,1.816519,1,video,3,2,1
VRTag_018,22,1,47,554.8882,412.5986,1243,865,0,823.5076,2.716578,1,video,3,2,1
VRTag_018,23,1,46,1325.512,696.5414,590,657,0,736.5742,1.649928,1,video,1,1,0
VRTag_018,24,1,11,741.5377,631.0982,423,235,0,508.2913,1.749947,1,video,3,3,0
VRTag_019,1,1,33,665.5307,698.3964,1205,738,0,540.921,4.299832,1,video,3,3,0
VRTag_019,2,1,1,675.1086,530.3141,1048,811,0,466.7254,3.799933,1,video,3,2,1
VRTag_019,3,1,6,867.008,930.63,1402,644,0,606.9376,4.033192,1,video,4,1,3
VRTag_019,4,1,47,1163.535,421.9078,1044,949,0,540.4764,5.783229,1,video,1,4,-3
VRTag_019,5,1,17,1295.827,531.6298,1153,311,0,262.8253,5.31655,1,video,1,1,0
VRTag_019,6,1,14,625.9925,559.0066,631,359,0,200.0693,2.533261,1,video,3,3,0
VRTag_019,7,1,11,1398.185,647.4362,1121,551,0,293.4815,2.016605,1,video,1,1,0
VRTag_019,8,1,26,1228.152,833.3729,1086,420,0,437.1319,4.099927,1,video,4,1,3
VRTag_019,9,1,15,1441.534,255.0198,898,359,0,553.3903,4.566601,1,video,1,1,0
VRTag_019,10,1,16,711.0988,505.8218,613,532,1,101.5317,4.349894,1,video,3,3,0
VRTag_019,11,1,20,1068.841,820.5609,767,448,0,479.4891,2.266612,1,video,4,1,3
VRTag_019,12,1,34,1133.491,448.5765,1267,818,0,392.8084,3.116592,1,video,1,4,-3
VRTag_019,13,1,13,1290.999,548.9962,482,353,0,832.4029,2.416657,1,video,1,1,0
VRTag_019,14,1,18,1187.89,385.2145,1346,756,0,403.0891,4.666497,1,video,1,4,-3
VRTag_019,15,1,12,735.3214,368.4371,1410,658,0,734.192,4.53326,1,video,3,3,0
VRTag_019,16,1,45,786.0884,569.4947,1239,87,0,661.7628,3.616549,1,video,1,1,0
VRTag_019,17,1,41,1179.964,843.8925,1104,300,0,549.1717,5.516565,1,video,4,1,3
VRTag_019,18,1,48,1215.759,305.1317,673,615,0,624.9849,4.899852,1,video,1,1,0
VRTag_019,19,1,22,890.4405,367.5091,1264,783,0,558.7302,3.399827,1,video,1,4,-3
VRTag_019,20,1,46,1278.781,282.5927,1330,671,0,391.7699,2.883239,1,video,1,1,0
VRTag_019,21,1,40,968.6682,205.9091,1258,151,0,294.496,4.549899,1,video,1,1,0
VRTag_019,22,1,21,468.0503,413.9195,1164,424,0,696.0227,6.833213,1,video,3,3,0
VRTag_019,23,1,32,790.5078,333.3576,961,926,0,616.6787,3.199915,1,video,1,4,-3
VRTag_019,24,1,31,1449.956,653.9203,982,141,0,694.3129,9.949854,1,video,1,1,0
VRTag_021,1,1,18,798.0119,271.3953,714,243,1,88.6809,8.566576,1,video,1,1,0
VRTag_021,2,1,31,820.0739,848.3623,695,562,0,312.485,3.033199,1,video,4,1,3
VRTag_021,3,1,40,894.8989,467.6065,956,358,1,125.4867,2.733273,1,video,1,1,0
VRTag_021,4,1,22,739.7288,286.6134,703,667,0,382.1557,6.599918,1,video,3,3,0
VRTag_021,5,1,45,672.4701,147.3972,916,546,0,467.1092,7.649884,1,video,3,3,0
VRTag_021,6,1,16,673.5605,132.0872,737,335,0,212.5986,5.016593,1,video,3,3,0
VRTag_021,7,1,48,843.9654,645.4588,1231,680,0,388.5729,5.0499,1,video,1,1,0
VRTag_021,8,1,13,506.4242,647.3599,482,636,1,26.93679,3.083201,1,video,3,3,0
VRTag_021,9,1,17,487.2558,307.6998,1220,345,0,733.6929,4.883231,1,video,3,3,0
